№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
721,030200968_,BR-R14-16-U21-D21-K46,"Роз. с з/к с з/ш 16А с USB A+A 2,1А б/рамки ""BRITE"" сталь (1/80)",1
722,030200766_,BR-R14-16-U21-D31-K46,"Роз. с з/к с з/ш 16А с USB A+A 3,1А б/рамки ""BRITE"" сталь (1/80)",1
723,030200949_,BR-R14-16-U22-018-K46,"Роз. с з/к с з/ш 16А с USB A+C 18Вт б/рамки ""BRITE"" сталь (1/80)",1
724,030200924_,BR-R16-16-K46,"Роз. с з/к с з/ш с кр. 16А IP20 б/рамки ""BRITE"" сталь (1/100)",1
725,030200499_,BR-R14-16-K46,"Роз. с з/к/ш 16А б/рамки ""BRITE"" сталь (1/100)",1
726,030200986_,BR-D20-0600-K46,"Светорег. пов-наж. 600Вт ""BRITE"" сталь (1/80)",1
727,030200959_,BR-RT11-K46,"Термостат с инд. ""BRITE"" сталь (1/80)",1
728,BR-VK10-0-K45,BR-VK10-0-K45,BRITE Вывод кабеля МВ10-БрТБ темная бронза IEK,1
729,030201049_,BR-V13-0-10-K45,BRITE Выключатель 1-клавишный перекрестный 10А ВС10-1-3-БрТБ темная бронза IEK,1
730,030201032_,BR-M52-K45,BRITE Рамка 5-местная РУ-5-БрТБ темная бронза IEK,1
731,030201152_,BR-R16-16-K45,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP20 бронза IEK,1
732,BR-R16-16-44-K45,BR-R16-16-44-K45,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP44 бронза IEK,1
733,BR-R26-16-44-K45-F,BR-R26-16-44-K45-F,BRITE Розетка 2-местная с/з с защитными шторками и крышкой 16А в сборе IP44 темная бронза IEK,1
734,BR-KT20-O-1-K45,BR-KT20-O-1-K45,BRITE Розетка двойная RJ11+RJ45 кат.5E РК/Т12-БрТБ темная бронза IEK,1
735,BR-K20-1-K45,BR-K20-1-K45,BRITE Розетка компьютерная двойная RJ45 кат.5E РК10-2-БрТБ темная бронза IEK,1
736,030200811_,BR-V10-0-10-K45,"Выкл 1-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
737,030200816_,BR-V12-0-10-K45,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
738,030200812_,BR-V10-1-10-K45,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
739,030200813_,BR-V20-0-10-K45,"Выкл 2-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
740,030200823_,BR-V22-0-10-K45,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
741,030200814_,BR-V20-1-10-K45,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
742,030200824_,BR-V30-0-10-K45,"Выкл 3-кл. 10А б/рамки ""BRITE"" темная бронза (1/100)",1
743,030200819_,BR-M12-K45,"Рамка 1-мест. ""BRITE"" темная бронза (1/100)",1
744,030200820_,BR-M22-K45,"Рамка 2-мест. ""BRITE"" темная бронза (1/100)",1
745,030200821_,BR-M32-K45,"Рамка 3-мест. ""BRITE"" темная бронза (1/100)",1
746,030200822_,BR-M42-K45,"Рамка 4-мест. ""BRITE"" темная бронза (1/100)",1
747,030201022_,BR-R11-16-K45,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" темная бронза (1/100)",1
748,030200818_,BR-R24-16-K45-F,"Роз. 2-я с з/к 16А в сб. ""BRITE"" темная бронза (1/100)",1
749,030200817_,BR-R21-16-K45-F,"Роз. 2-я с з/к без з/ш 16А в сб. ""BRITE"" темная бронза (1/100)",1
750,030200826_,BR-H10-K45,"Роз. HDMI б/рамки ""BRITE"" темная бронза (1/100)",1
751,030200825_,BR-A10-O-K45,"Роз. TV окон б/рамки ""BRITE"" темная бронза (1/100)",1
752,030200815_,BR-K10-1-K45,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" темная бронза (1/100)",1
753,030200810_,BR-R14-16-K45,"Роз. с з/к 16А б/рамки ""BRITE"" темная бронза (1/100)",1
754,BR-R16-16-44-K02_,BR-R16-16-44-K02,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP44 РСбш10-3-44-БрЧ черный,1
755,BR-R26-16-44-K02-F,BR-R26-16-44-K02-F,BRITE Розетка 2-местная с заземлением с защитными шторками и крышкой 16А в сборе IP44 РСбш12-3-44-Бр,1
756,030200911_,BR-VK10-0-K02,"Вывод кабеля ""BRITE"" черный (1/200)",1
757,030200780_,BR-V13-0-10-K02,"Выкл 1-кл перекрестный 10А б/рамки ""BRITE"" чёрный (1/100)",1
758,030200486_,BR-V10-0-10-K02,"Выкл 1-кл. 10А б/рамки ""BRITE"" черный (1/100)",1
759,030200491_,BR-V12-0-10-K02,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" черный (1/100)",1
760,030200876_,BR-V12-1-10-K02,"Выкл 1-кл. прох. с инд.  10А ""BRITE"" чёрный (1/100)",1
761,030200487_,BR-V10-1-10-K02,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" черный (1/100)",1
762,030200488_,BR-V20-0-10-K02,"Выкл 2-кл. 10А б/рамки ""BRITE"" черный (1/100)",1
763,030200498_,BR-V22-0-10-K02,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" черный (1/100)",1
764,030200489_,BR-V20-1-10-K02,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" черный (1/100)",1
765,030200744_,BR-V30-0-10-K02,"Выкл 3-кл. 10А  б/рамки ""BRITE"" чёрный (1/100)",1
766,030200971_,BR-V14-0-10-K02,"Выкл. 1-кл. самовозвратн. 10А ""BRITE"" черный (1/100)",1
767,030200943_,BR-V15-0-10-K02,"Выкл. жалюзи 10А ""BRITE"" черный (1/100)",1
768,030200962_,BR-MS10-N-150-05-K02,"Датчик движения ""BRITE"" черный (1/80)",1
769,030200892_,BR-PL10-K02,"Заглушка c суппортом ""BRITE"" черный (1/200)",1
770,030200952_,BR-FL20-K02,"Подсветка LED встр. ""BRITE"" черный (1/100)",1
771,030200494_,BR-M12-K02,"Рамка 1-мест. ""BRITE"" черный (1/100)",1
772,030200495_,BR-M22-K02,"Рамка 2-мест. ""BRITE"" черный (1/100)",1
773,030200496_,BR-M32-K02,"Рамка 3-мест. ""BRITE"" черный (1/100)",1
774,030200497_,BR-M42-K02,"Рамка 4-мест. ""BRITE"" черный (1/100)",1
775,030200758_,BR-M52-K02,"Рамка 5-мест. ""BRITE"" черный (1/100)",1
776,030200877_,BR-K20-1-K02,"Роз 2-ая комп. RJ45 кат.5E ""BRITE"" чёрный (1/100)",1
777,030200543_,BR-A10-O-K02,"Роз TV оконечная  б/рамки ""BRITE"" чёрный (1/100)",1
778,030200787_,BR-KT20-O-1-K02,"Роз. 2-я RJ11+RJ45 кат.5E б/рамки ""BRITE"" черный (1/100)",1
779,030200538_,BR-AK20-1-K02,"Роз. 2-я TV+RJ45 кат.5E б/рамки ""BRITE"" черный (1/100)",1
780,030200981_,BR-AF20-O-K02,"Роз. 2-я TV+SAT б/рамки ""BRITE"" черный (1/100)",1
781,030200492_,BR-R21-16-K02-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" черный (1/100)",1
782,030200493_,BR-R24-16-K02-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" черный (1/100)",1
783,030200941_,BR-H10-K02,"Роз. HDMI б/рамки ""BRITE"" черный (1/100)",1
784,030200745_,BR-A10-P-K02,"Роз. TV проходная б/рамки ""BRITE"" черный (1/100)",1
785,030200918_,BR-U21-D31-K02,"Роз. USB A+A 3,1А б/рамки ""BRITE"" черный (1/80)",1
786,030200771_,BR-U22-018-K02,"Роз. USB A+C 18Вт б/рамки ""BRITE"" черный (1/80)",1
787,030200976_,BR-S40-K02,"Роз. аудио 4-мест. ""BRITE"" черный (1/100)",1
788,030200536_,BR-R10-10-K02,"Роз. без з/к 10А б/рамки ""BRITE"" черный (1/100)",1
789,030200490_,BR-K10-1-K02,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" черный (1/100)",1
790,030200485_,BR-R11-16-K02,"Роз. с з/к без з/ш 16А б/рамки ""BRITE"" черный (1/100)",1
791,030200967_,BR-R14-16-U21-D21-K02,"Роз. с з/к с з/ш 16А с USB A+A 2,1А б/рамки ""BRITE"" черный (1/80)",1
792,030200770_,BR-R14-16-U21-D31-K02,"Роз. с з/к с з/ш 16А с USB A+A 3,1А б/рамки ""BRITE"" черный (1/80)",1
793,030200947_,BR-R14-16-U22-018-K02,"Роз. с з/к с з/ш 16А с USB A+C 18Вт б/рамки ""BRITE"" черный (1/80)",1
794,030200926_,BR-R16-16-K02,"Роз. с з/к с з/ш с кр. 16А IP20 б/рамки ""BRITE"" черный (1/100)черный",1
795,030200885_,BR-D20-0600-K02,"Светорег. пов-наж. 600Вт ""BRITE"" черный (1/80)",1
796,030200957_,BR-RT11-K02,"Термостат с инд. ""BRITE"" черный (1/80)",1
797,BR-VK10-0-K37,BR-VK10-0-K37,BRITE Вывод кабеля МВ10-БрШ шампань IEK,1
798,BR-MS10-N-150-05-K37,BR-MS10-N-150-05-K37,BRITE Датчик движения ДС10-1-БрШ шампань IEK,1
799,030200755_,BR-M52-K37,BRITE Рамка 5-местная РУ-5-БрШ шампань IEK,1
800,BR-R16-16-K37,BR-R16-16-K37,BRITE Розетка 1-местная с заземлением с защитными шторками и крышкой 16А IP20 шампань IEK,1
801,BR-R16-16-44-K37,BR-R16-16-44-K37,BRITE Розетка 1-я с/з с/ш и крышкой 16А IP44 РСбш10-3-44-БрШ шампань IEK,1
802,BR-R26-16-44-K37-F,BR-R26-16-44-K37-F,BRITE Розетка 2-местная с заземлением с защитными шторками и крышкой 16А в сборе IP44 РСбш12-3-44-Бр,1
803,BR-U21-D31-K37,BR-U21-D31-K37,"BRITE Розетка USB A+A 5В 3,1А РЮ10-1-БрШ шампань IEK",1
804,030200776_,BR-V13-0-10-K37,"Выкл 1-кл перекрестный  10А б/рамки ""BRITE"" шампань (1/100)",1
805,030200435_,BR-V10-0-10-K37,"Выкл 1-кл. 10А б/рамки ""BRITE"" шампань (1/100)",1
806,030200440_,BR-V12-0-10-K37,"Выкл 1-кл. прох. 10А б/рамки ""BRITE"" шампань (1/100)",1
807,030200873_,BR-V12-1-10-K37,"Выкл 1-кл. прох. с инд. б/рамки 10А ""BRITE"" шампань (1/100)",1
808,030200436_,BR-V10-1-10-K37,"Выкл 1-кл. с инд. 10А б/рамки ""BRITE"" шампань (1/100)",1
809,030200437_,BR-V20-0-10-K37,"Выкл 2-кл. 10А б/рамки ""BRITE"" шампань (1/100)",1
810,030200447_,BR-V22-0-10-K37,"Выкл 2-кл. прох. 10А б/рамки ""BRITE"" шампань (1/100)",1
811,030200438_,BR-V20-1-10-K37,"Выкл 2-кл. с инд. 10А б/рамки ""BRITE"" шампань (1/100)",1
812,030200752_,BR-V30-0-10-K37,"Выкл 3-кл. 10А  б/рамки ""BRITE"" шампань (1/100)",1
813,030200443_,BR-M12-K37,"Рамка 1-мест. ""BRITE"" шампань (1/100)",1
814,030200444_,BR-M22-K37,"Рамка 2-мест. ""BRITE"" шампань (1/100)",1
815,030200445_,BR-M32-K37,"Рамка 3-мест. ""BRITE"" шампань (1/100)",1
816,030200446_,BR-M42-K37,"Рамка 4-мест. ""BRITE"" шампань (1/100)",1
817,030200751_,BR-K20-1-K37,"Роз 2-ая комп. RJ45  кат.5E ""BRITE"" шампань (1/100)",1
818,030200539_,BR-A10-O-K37,"Роз TV оконечная  б/рамки ""BRITE"" шампань (1/100)",1
819,030200441_,BR-R21-16-K37-F,"Роз. 2-я с з/к без з/ш 16А в сборе ""BRITE"" шампань (1/100)",1
820,030200442_,BR-R24-16-K37-F,"Роз. 2-я с з/к/ш 16А в сборе ""BRITE"" шампань (1/100)",1
821,030200524_,BR-R10-10-K37,"Роз. без з/к 10А б/рамки ""BRITE"" шампань (1/100)",1
822,030200439_,BR-K10-1-K37,"Роз. комп. RJ45 кат.5E б/рамки ""BRITE"" шампань (1/100)",1
823,030200525_,BR-R11-16-K37,"Роз. с з/к без з/ш 16А б/рамки ""BRITE""  шампань (1/100)",1
824,030200434_,BR-R14-16-K37,"Роз. с з/к/ш 16А б/рамки ""BRITE"" шампань (1/100)",1
825,030201064_,BR-M12-12-K47," Рамка 1-мест. ""BRITE""  алюм./алюм.  IEK  (1/100)",1
826,030201067_,BR-M12-51-K10," Рамка 1-мест. ""BRITE""  беж. рифленый  IEK  (1/100)",1
827,030201055_,BR-M12-12-1-K10," Рамка 1-мест. ""BRITE""  беж./жемч.  IEK  (1/100)",1
828,030201063_,BR-M12-12-3-K10," Рамка 1-мест. ""BRITE""  беж./шамп.  IEK  (1/100)",1
829,030201066_,BR-M12-51-K01," Рамка 1-мест. ""BRITE""  бел. рифленый  IEK  (1/100)",1
830,030201052_,BR-M12-12-K01," Рамка 1-мест. ""BRITE""  бел./бел.  IEK  (1/100)",1
831,030201072_,BR-M12-12-4-K23," Рамка 1-мест. ""BRITE""  хром/никель  IEK  (1/100)",1
832,030201065_,BR-M12-12-2-K23," Рамка 1-мест. ""BRITE""  хром/черн.  IEK  (1/100)",1
833,030201069_,BR-M22-12-K47," Рамка 2-мест. ""BRITE""  алюм./алюм.  IEK  (1/100)",1
834,030201075_,BR-M22-51-K10," Рамка 2-мест. ""BRITE""  беж. рифленый  IEK  (1/100)",1
835,030201056_,BR-M22-12-1-K10," Рамка 2-мест. ""BRITE""  беж./жемч.  IEK  (1/100)",1
836,030201068_,BR-M22-12-3-K10," Рамка 2-мест. ""BRITE""  беж./шамп.  IEK  (1/100)",1
837,030201074_,BR-M22-51-K01," Рамка 2-мест. ""BRITE""  бел. рифленый  IEK  (1/100)",1
838,030201053_,BR-M22-12-K01," Рамка 2-мест. ""BRITE""  бел./бел.  IEK  (1/100)",1
839,030201078_,BR-M22-12-4-K23," Рамка 2-мест. ""BRITE""  хром/никель  IEK  (1/100)",1
840,030201073_,BR-M22-12-2-K23," Рамка 2-мест. ""BRITE""  хром/черн.  IEK  (1/100)",1
841,030201070_,BR-M32-12-K47," Рамка 3-мест. ""BRITE""  алюм./алюм.  IEK  (1/100)",1
842,030201083_,BR-M32-51-K10," Рамка 3-мест. ""BRITE""  беж. рифленый  IEK  (1/100)",1
843,030201057_,BR-M32-12-1-K10," Рамка 3-мест. ""BRITE""  беж./жемч.  IEK  (1/100)",1
844,030201076_,BR-M32-12-3-K10," Рамка 3-мест. ""BRITE""  беж./шамп.  IEK  (1/100)",1
845,030201082_,BR-M32-51-K01," Рамка 3-мест. ""BRITE""  бел. рифленый  IEK  (1/100)",1
846,030201054_,BR-M32-12-K01," Рамка 3-мест. ""BRITE""  бел./бел.  IEK  (1/100)",1
847,030201080_,BR-M32-12-4-K23," Рамка 3-мест. ""BRITE""  хром/никель  IEK  (1/100)",1
848,030201081_,BR-M32-12-2-K23," Рамка 3-мест. ""BRITE""  хром/черн.  IEK  (1/100)",1
849,030201071_,BR-M42-12-K47," Рамка 4-мест. ""BRITE""  алюм./алюм.  IEK  (1/100)",1
850,030201086_,BR-M42-51-K10," Рамка 4-мест. ""BRITE""  беж. рифленый  IEK  (1/100)",1
851,030201060_,BR-M42-12-1-K10," Рамка 4-мест. ""BRITE""  беж./жемч.  IEK  (1/100)",1
852,030201079_,BR-M42-12-3-K10," Рамка 4-мест. ""BRITE""  беж./шамп.  IEK  (1/100)",1
853,030201085_,BR-M42-51-K01," Рамка 4-мест. ""BRITE""  бел. рифленый  IEK  (1/100)",1
854,030201077_,BR-M42-12-K01," Рамка 4-мест. ""BRITE""  бел./бел.  IEK  (1/100)",1
855,030201101_,BR-M42-12-4-K23," Рамка 4-мест. ""BRITE""  хром/никель  IEK  (1/100)",1
856,030201084_,BR-M42-12-2-K23," Рамка 4-мест. ""BRITE""  хром/черн.  IEK  (1/100)",1
857,030201147_,BR-M52-12-K47," Рамка 5-мест. ""BRITE""  алюм./алюм.  IEK  (1/100)",1
858,030201149_,BR-M52-51-K10," Рамка 5-мест. ""BRITE""  беж. рифленый  IEK  (1/100)",1
859,030201061_,BR-M52-12-1-K10," Рамка 5-мест. ""BRITE""  беж./жемч.  IEK  (1/100)",1
860,030201145_,BR-M52-12-3-K10," Рамка 5-мест. ""BRITE""  беж./шамп.  IEK  (1/100)",1
861,030201148_,BR-M52-51-K01," Рамка 5-мест. ""BRITE""  бел. рифленый  IEK  (1/100)",1
862,030201146_,BR-M52-12-K01," Рамка 5-мест. ""BRITE""  бел./бел.  IEK  (1/100)",1
863,030201150_,BR-M52-12-4-K23," Рамка 5-мест. ""BRITE""  хром/никель  IEK  (1/100)",1
864,030201144_,BR-M52-12-2-K23," Рамка 5-мест. ""BRITE""  хром/черн.  IEK  (1/100)",1
865,030201095_,BR-M12-M-01-K47," Рамка 1-мест. ""BRITE""  металл алюм. RE  IEK  (1/100)",1
866,030201100_,BR-M12-M-21-K47," Рамка 1-мест. ""BRITE""  металл алюм. RE AL  IEK  (1/100)",1
867,030201098_,BR-M12-M-21-K30," Рамка 1-мест. ""BRITE""  металл коричн. RE AL  IEK  (1/100)",1
868,030201034_,BR-M12-M-01-K49," Рамка 1-мест. ""BRITE""  металл латунь RE  IEK  (1/100)",1
869,030201096_,BR-M12-M-01-K48," Рамка 1-мест. ""BRITE""  металл титан RE  IEK  (1/100)",1
870,030201094_,BR-M12-M-01-K02," Рамка 1-мест. ""BRITE""  металл черн. RE  IEK  (1/100)",1
871,030201097_,BR-M12-M-21-K02," Рамка 1-мест. ""BRITE""  металл черн. RE AL  IEK  (1/100)",1
872,030201099_,BR-M12-M-21-K37," Рамка 1-мест. ""BRITE""  металл шамп. RE AL  IEK  (1/100)",1
873,030200848_,BR-M12-M-K47,"Рамка 1-мест. ""BRITE"" металл алюминий (1/100)",1
874,030200847_,BR-M12-M-K02,"Рамка 1-мест. ""BRITE"" металл черный (1/100)",1
875,030201110_,BR-M22-M-01-K47," Рамка 2-мест. ""BRITE""  металл алюм. RE  IEK  (1/100)",1
876,030201115_,BR-M22-M-21-K47," Рамка 2-мест. ""BRITE""  металл алюм. RE AL  IEK  (1/100)",1
877,030201113_,BR-M22-M-21-K30," Рамка 2-мест. ""BRITE""  металл коричн. RE AL  IEK  (1/100)",1
878,030201035_,BR-M22-M-01-K49," Рамка 2-мест. ""BRITE""  металл латунь RE  IEK  (1/100)",1
879,030201111_,BR-M22-M-01-K48," Рамка 2-мест. ""BRITE""  металл титан RE  IEK  (1/100)",1
880,030201109_,BR-M22-M-01-K02," Рамка 2-мест. ""BRITE""  металл черн. RE  IEK  (1/100)",1
881,030201112_,BR-M22-M-21-K02," Рамка 2-мест. ""BRITE""  металл черн. RE AL  IEK  (1/100)",1
882,030201114_,BR-M22-M-21-K37," Рамка 2-мест. ""BRITE""  металл шамп. RE AL  IEK  (1/100)",1
883,030200850_,BR-M22-M-K47,"Рамка 2-мест. ""BRITE"" металл алюминий (1/100)",1
884,030200849_,BR-M22-M-K02,"Рамка 2-мест. ""BRITE"" металл черный (1/100)",1
885,030201124_,BR-M32-M-01-K47," Рамка 3-мест. ""BRITE""  металл алюм. RE  IEK  (1/50)",1
886,030201129_,BR-M32-M-21-K47," Рамка 3-мест. ""BRITE""  металл алюм. RE AL  IEK  (1/50)",1
887,030201127_,BR-M32-M-21-K30," Рамка 3-мест. ""BRITE""  металл коричн. RE AL  IEK  (1/50)",1
888,030201036_,BR-M32-M-01-K49," Рамка 3-мест. ""BRITE""  металл латунь RE  IEK  (1/50)",1
889,030201125_,BR-M32-M-01-K48," Рамка 3-мест. ""BRITE""  металл титан RE  IEK  (1/50)",1
890,030201123_,BR-M32-M-01-K02," Рамка 3-мест. ""BRITE""  металл черн. RE  IEK  (1/50)",1
891,030201126_,BR-M32-M-21-K02," Рамка 3-мест. ""BRITE""  металл черн. RE AL  IEK  (1/50)",1
892,030201128_,BR-M32-M-21-K37," Рамка 3-мест. ""BRITE""  металл шамп. RE AL  IEK  (1/50)",1
893,030200852_,BR-M32-M-K47,"Рамка 3-мест. ""BRITE"" металл алюминий (1/50)",1
894,030200851_,BR-M32-M-K02,"Рамка 3-мест. ""BRITE"" металл черный (1/50)",1
